City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lengshuitan,CN,26.4111,111.5956,73.35,97,100,2.26,overcast clouds
1,Richards Bay,ZA,-28.783,32.0377,68.58,78,0,10.76,clear sky
2,Hermanus,ZA,-34.4187,19.2345,60.8,79,1,19.6,clear sky
3,Hilo,US,19.7297,-155.09,83.28,75,100,6.91,overcast clouds
4,Mayo,US,38.8876,-76.5119,80.35,55,0,9.22,clear sky
5,Port Hedland,AU,-20.3167,118.5667,75.25,94,100,8.05,light rain
6,Gejiu,CN,23.306,103.1635,57.96,95,45,2.62,scattered clouds
7,Dhanwar,IN,24.4167,85.9833,84.9,44,0,5.06,clear sky
8,Punta Arenas,CL,-53.15,-70.9167,42.91,65,75,19.57,broken clouds
9,Nanpiao,CN,41.0982,120.7479,64.2,57,100,7.16,overcast clouds
10,Hambantota,LK,6.1241,81.1185,78.89,83,71,13.69,broken clouds
11,Kasongo,CD,-4.45,26.6667,68.56,94,100,3.53,overcast clouds
12,Kupang,ID,-10.1667,123.5833,75.2,79,31,6.13,scattered clouds
13,Ushuaia,AR,-54.8,-68.3,37.06,81,75,21.85,broken clouds
14,Mezen,RU,65.8522,44.24,51.08,83,93,6.98,overcast clouds
15,Vardo,NO,70.3705,31.1107,42.78,87,20,2.3,few clouds
16,Bethel,US,41.3712,-73.414,67.01,91,100,4.61,moderate rain
17,Nikolskoye,RU,59.7035,30.7861,49.91,95,19,0.63,few clouds
18,Mataura,NZ,-46.1927,168.8643,45.48,94,100,2.68,overcast clouds
19,Lindi,TZ,-10.0,39.7167,70.63,85,27,3.47,scattered clouds
20,Takoradi,GH,4.8845,-1.7554,79.93,83,79,9.86,broken clouds
21,Hobart,AU,-42.8794,147.3294,43.27,93,40,4.61,scattered clouds
22,Sao Filipe,CV,14.8961,-24.4956,73.63,86,47,9.33,scattered clouds
23,Monterrey,MX,25.6667,-100.3167,90.57,51,0,7.54,clear sky
24,Georgetown,MY,5.4112,100.3354,81.95,92,20,3.44,few clouds
25,Puerto Ayora,EC,-0.7393,-90.3518,80.56,85,78,8.01,broken clouds
26,Dikson,RU,73.5069,80.5464,29.75,87,100,13.65,overcast clouds
27,Lompoc,US,34.6391,-120.4579,74.7,76,75,15.01,broken clouds
28,Marsaxlokk,MT,35.8419,14.5431,71.08,88,40,12.66,scattered clouds
29,Andalan,PH,5.9594,121.3903,79.05,80,100,2.46,overcast clouds
30,Smithers,CA,54.7804,-127.1743,52.12,71,75,5.75,broken clouds
31,Mount Isa,AU,-20.7333,139.5,47.97,76,7,1.14,clear sky
32,Pirovskoye,RU,57.6267,92.2658,46.09,57,10,3.27,clear sky
33,Garden City,US,42.3256,-83.331,75.88,49,75,6.91,broken clouds
34,Kapaa,US,22.0752,-159.319,79.12,80,20,12.66,few clouds
35,East London,ZA,-33.0153,27.9116,66.63,68,0,19.24,clear sky
36,Rikitea,PF,-23.1203,-134.9692,76.08,72,2,8.1,clear sky
37,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,65,75,12.66,broken clouds
38,Hovd,MN,48.0056,91.6419,60.06,40,26,4.25,scattered clouds
39,Baruun-Urt,MN,46.6806,113.2792,43.0,74,100,11.86,overcast clouds
40,Thompson,CA,55.7435,-97.8558,55.56,47,40,6.91,scattered clouds
41,Riyadh,SA,24.6877,46.7219,91.54,11,71,17.05,broken clouds
42,Tasiilaq,GL,65.6145,-37.6368,41.16,94,100,29.21,moderate rain
43,Lavrentiya,RU,65.5833,-171.0,34.92,96,98,3.56,overcast clouds
44,Virginia Beach,US,36.8529,-75.978,83.05,52,0,1.99,clear sky
45,Iqaluit,CA,63.7506,-68.5145,31.73,74,75,15.01,broken clouds
46,Thinadhoo,MV,0.5333,72.9333,83.75,71,100,10.16,overcast clouds
47,Upernavik,GL,72.7868,-56.1549,28.54,76,98,4.99,overcast clouds
48,Taksimo,RU,56.3444,114.8794,37.09,98,100,4.05,light rain
49,Cairns,AU,-16.9167,145.7667,62.55,97,22,1.14,few clouds
50,Vaini,TO,-21.2,-175.2,77.16,94,75,8.05,broken clouds
51,Pangnirtung,CA,66.1451,-65.7125,32.0,74,75,8.05,broken clouds
52,Mutoko,ZW,-17.397,32.2268,55.53,70,0,4.5,clear sky
53,Cherskiy,RU,68.75,161.3,37.81,53,14,4.74,few clouds
54,Port Elizabeth,ZA,-33.918,25.5701,62.89,86,0,19.57,clear sky
55,Bondo,CD,3.8146,23.6866,65.91,100,100,1.63,overcast clouds
56,Margate,GB,51.3813,1.3862,55.31,75,100,3.0,overcast clouds
57,Vao,NC,-22.6667,167.4833,74.46,80,77,8.39,broken clouds
58,Opunake,NZ,-39.4556,173.8583,51.85,74,40,7.85,scattered clouds
59,La Rioja,ES,42.25,-2.5,69.58,68,0,3.98,clear sky
60,Qaanaaq,GL,77.484,-69.3632,30.51,69,95,17.0,light snow
61,Hami,CN,42.8,93.45,75.52,15,5,10.94,clear sky
62,General Roca,AR,-39.0333,-67.5833,56.62,24,0,15.97,clear sky
63,Ahipara,NZ,-35.1667,173.1667,61.48,70,100,17.09,heavy intensity rain
64,Ostrovnoy,RU,68.0531,39.5131,44.8,81,100,8.25,overcast clouds
65,Lebu,CL,-37.6167,-73.65,49.15,65,4,18.7,clear sky
66,Ballina,AU,-28.8667,153.5667,55.78,79,1,11.77,clear sky
67,Caravelas,BR,-17.7125,-39.2481,76.6,69,85,5.84,overcast clouds
68,Pisco,PE,-13.7,-76.2167,67.01,77,50,10.36,haze
69,Faanui,PF,-16.4833,-151.75,80.94,70,1,17.87,clear sky
70,Sur,OM,22.5667,59.5289,87.46,60,0,10.69,clear sky
71,Busselton,AU,-33.65,115.3333,55.29,64,100,14.85,overcast clouds
72,Saint George,US,37.1041,-113.5841,90.63,11,0,11.99,clear sky
73,Torbay,CA,47.6666,-52.7314,40.26,83,100,21.85,light rain
74,Gayny,RU,60.3071,54.3241,49.75,97,100,5.37,overcast clouds
75,Barrow,US,71.2906,-156.7887,33.82,86,100,4.61,overcast clouds
76,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,86,75,5.75,broken clouds
77,Yellowknife,CA,62.456,-114.3525,59.56,38,75,16.11,broken clouds
78,Albany,US,42.6001,-73.9662,77.41,71,100,5.01,overcast clouds
79,Mucurapo,TT,10.6667,-61.5333,86.05,63,100,12.5,overcast clouds
80,Haines Junction,CA,60.7522,-137.5108,57.15,24,6,9.22,clear sky
81,Dhuburi,IN,26.0333,89.9667,79.0,78,0,4.36,clear sky
82,Kalmunai,LK,7.4167,81.8167,80.01,79,100,6.29,overcast clouds
83,Saint-Augustin,CA,51.226,-58.6502,42.55,91,100,22.3,overcast clouds
84,Bredasdorp,ZA,-34.5322,20.0403,59.29,72,1,14.52,clear sky
85,Cape Town,ZA,-33.9258,18.4232,63.37,88,75,16.11,broken clouds
86,Cabo San Lucas,MX,22.8909,-109.9124,95.31,24,0,8.05,clear sky
87,Yangambi,CD,0.8102,24.4336,67.01,100,100,2.44,overcast clouds
88,Ambilobe,MG,-13.2,49.05,70.0,84,6,3.65,clear sky
89,Ribeira Grande,PT,38.5167,-28.7,63.0,63,40,16.11,scattered clouds
90,Fayaoue,NC,-20.65,166.5333,77.68,78,1,14.36,clear sky
91,Sabha,LY,27.0377,14.4283,87.33,12,0,12.46,clear sky
92,Bagnara Calabra,IT,38.2885,15.8078,68.9,81,2,5.61,clear sky
93,Geraldton,AU,-28.7667,114.6,57.61,82,40,9.22,scattered clouds
94,Lorengau,PG,-2.0226,147.2712,78.78,75,84,1.52,broken clouds
95,Angoche,MZ,-16.2325,39.9086,74.48,68,3,10.13,clear sky
96,Tecoanapa,MX,16.5167,-98.75,85.41,67,100,11.92,overcast clouds
97,Saldanha,ZA,-33.0117,17.9442,55.45,82,0,9.82,light rain
98,Port Alfred,ZA,-33.5906,26.891,62.19,86,8,4.0,clear sky
99,Mao,ES,39.8885,4.2658,68.56,83,0,4.61,clear sky
100,Marawi,PH,7.9986,124.2928,68.22,87,100,2.51,overcast clouds
101,Nantucket,US,41.2835,-70.0995,64.54,94,100,11.5,mist
102,Tottori,JP,35.5,134.2333,64.56,47,100,7.18,overcast clouds
103,Leningradskiy,RU,69.3833,178.4167,30.45,85,97,2.62,overcast clouds
104,Jamestown,US,42.097,-79.2353,65.95,87,100,9.22,overcast clouds
105,Quelimane,MZ,-17.8786,36.8883,73.35,83,20,3.44,few clouds
106,Kodinsk,RU,58.6881,99.1844,42.19,57,12,2.75,few clouds
107,Carnarvon,AU,-24.8667,113.6333,68.2,67,100,20.22,overcast clouds
108,Bima,ID,-8.4667,118.7167,74.73,92,94,0.78,overcast clouds
109,Bluff,NZ,-46.6,168.3333,45.81,88,97,7.92,overcast clouds
110,Waingapu,ID,-9.6567,120.2641,76.12,86,100,4.41,overcast clouds
111,Plymouth,US,41.8334,-70.8328,75.22,82,100,13.8,overcast clouds
112,Kedgwick,CA,47.6446,-67.3434,57.63,87,100,8.28,light rain
113,Taua,BR,-5.9667,-40.3,76.6,73,95,11.36,overcast clouds
114,Mangan,IN,27.5167,88.5333,71.96,90,98,1.77,overcast clouds
115,Abu Samrah,SY,35.3029,37.1841,79.43,27,0,7.23,clear sky
116,Muros,ES,42.7762,-9.0603,73.83,54,0,2.62,clear sky
117,Butaritari,KI,3.0707,172.7902,81.5,77,100,16.78,overcast clouds
118,Natal,BR,-5.795,-35.2094,82.62,78,20,10.36,few clouds
119,Souillac,MU,-20.5167,57.5167,75.58,73,40,13.8,light rain
