City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Hilo,US,83.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
4,Mayo,US,80.35,clear sky,38.8876,-76.5119,Resorts Resource Group International
5,Port Hedland,AU,75.25,light rain,-20.3167,118.5667,The Esplanade Hotel
7,Dhanwar,IN,84.9,clear sky,24.4167,85.9833,K G N HOTEL
10,Hambantota,LK,78.89,broken clouds,6.1241,81.1185,Bungalow 63
12,Kupang,ID,75.2,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
20,Takoradi,GH,79.93,broken clouds,4.8845,-1.7554,Raybow International Hotel
24,Georgetown,MY,81.95,few clouds,5.4112,100.3354,Cititel Penang
25,Puerto Ayora,EC,80.56,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
33,Garden City,US,75.88,broken clouds,42.3256,-83.331,Big Trees Mobile Home Community
34,Kapaa,US,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
36,Rikitea,PF,76.08,clear sky,-23.1203,-134.9692,People ThankYou
37,Arraial Do Cabo,BR,76.96,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
44,Virginia Beach,US,83.05,clear sky,36.8529,-75.978,Hilton Virginia Beach Oceanfront
50,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
61,Hami,CN,75.52,clear sky,42.8,93.45,Laoyutang Resort
67,Caravelas,BR,76.6,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
69,Faanui,PF,80.94,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
70,Sur,OM,87.46,clear sky,22.5667,59.5289,Sur Plaza Hotel
79,Mucurapo,TT,86.05,overcast clouds,10.6667,-61.5333,Courtyard by Marriott Port of Spain
81,Dhuburi,IN,79.0,clear sky,26.0333,89.9667,"Hotel Samrat, Dhubri"
82,Kalmunai,LK,80.01,overcast clouds,7.4167,81.8167,VS Villa
90,Fayaoue,NC,77.68,clear sky,-20.65,166.5333,Chez Dydyce Guesthouse
91,Sabha,LY,87.33,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
94,Lorengau,PG,78.78,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
96,Tecoanapa,MX,85.41,overcast clouds,16.5167,-98.75,Hotel Manglares
110,Waingapu,ID,76.12,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
111,Plymouth,US,75.22,overcast clouds,41.8334,-70.8328,Rodeway Inn Middleboro-Plymouth
113,Taua,BR,76.6,overcast clouds,-5.9667,-40.3,Chácara Paraíso
