City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,New Norfolk,AU,2022-05-03 19:50:32,-42.7826,147.0587,56.7,83,100,5.75
1,Coihaique,CL,2022-05-03 19:47:24,-45.5752,-72.0662,53.55,76,100,10.36
2,Rikitea,PF,2022-05-03 19:50:32,-23.1203,-134.9692,77.54,77,100,17.52
3,Kapaa,US,2022-05-03 19:50:33,22.0752,-159.319,80.92,73,75,16.11
4,Hobart,AU,2022-05-03 19:47:35,-42.8794,147.3294,57.25,89,100,5.75
5,Komsomolskiy,UZ,2022-05-03 19:50:33,40.4272,71.7189,72.32,53,100,2.3
6,Faanui,PF,2022-05-03 19:47:24,-16.4833,-151.75,80.94,77,83,10.78
7,Maniwaki,CA,2022-05-03 19:50:34,46.3834,-75.966,57.58,58,100,10.36
8,Codrington,AU,2022-05-03 19:50:34,-38.2667,141.9667,54.07,78,97,9.1
9,Port Alfred,ZA,2022-05-03 19:50:35,-33.5906,26.891,64.18,94,68,1.99
10,Ust-Barguzin,RU,2022-05-03 19:50:35,53.45,108.9833,32.09,97,89,3.2
11,Sampit,ID,2022-05-03 19:50:36,-2.5333,112.95,75.52,98,100,1.32
12,Eldoret,KE,2022-05-03 19:50:36,0.5204,35.2699,58.21,93,98,7.23
13,Cape Town,ZA,2022-05-03 19:50:36,-33.9258,18.4232,63.91,89,100,12.66
14,Kodiak,US,2022-05-03 19:50:37,57.79,-152.4072,42.31,87,100,5.75
15,Port-Cartier,CA,2022-05-03 19:50:37,50.0334,-66.8654,45.75,80,22,6.11
16,Saint Anthony,US,2022-05-03 19:50:38,45.0205,-93.218,58.82,47,0,17.27
17,Ushuaia,AR,2022-05-03 19:45:42,-54.8,-68.3,46.02,65,40,26.46
18,Dingle,PH,2022-05-03 19:50:38,10.9995,122.6711,76.39,85,100,6.35
19,Albany,US,2022-05-03 19:49:14,42.6001,-73.9662,65.88,57,100,5.01
20,Luanda,AO,2022-05-03 19:45:57,-8.8368,13.2343,78.8,83,20,10.36
21,Atuona,PF,2022-05-03 19:50:39,-9.8,-139.0333,79.39,78,16,17.45
22,Torbay,CA,2022-05-03 19:50:40,47.6666,-52.7314,46.89,79,75,13.8
23,Hithadhoo,MV,2022-05-03 19:50:40,-0.6,73.0833,80.96,82,94,16.49
24,Hilo,US,2022-05-03 19:47:21,19.7297,-155.09,77.29,96,100,12.66
25,Tynda,RU,2022-05-03 19:50:41,55.1667,124.7167,24.98,86,99,2.75
26,Biak,ID,2022-05-03 19:50:41,-0.9131,122.8766,77.13,83,77,4.41
27,Iqaluit,CA,2022-05-03 19:50:42,63.7506,-68.5145,17.33,72,20,18.41
28,Mnogovershinnyy,RU,2022-05-03 19:50:42,53.9353,139.9242,25.43,95,100,2.53
29,Punta Arenas,CL,2022-05-03 19:46:01,-53.15,-70.9167,44.71,70,75,35.68
30,Avera,US,2022-05-03 19:50:43,33.194,-82.5271,89.38,63,100,5.08
31,Kaitangata,NZ,2022-05-03 19:50:44,-46.2817,169.8464,48.2,83,6,3.56
